,sbc_indemp_0000000001,sbc_indemp_0500000001,sbc_indemp_0600000001,sbc_indemp_0700000001,sbc_indemp_0800000001,sbc_indemp_1000000001,sbc_indemp_1500000001,sbc_indemp_2000000001,sbc_indemp_3000000001,sbc_indemp_3100000001,sbc_indemp_4000000001,sbc_indemp_4100000001,sbc_indemp_4200000001,sbc_indemp_4244500001,sbc_indemp_4244800001,sbc_indemp_4300000001,sbc_indemp_5000000001,sbc_indemp_5500000001,sbc_indemp_5552000001,sbc_indemp_5553000001,sbc_indemp_6000000001,sbc_indemp_6054000001,sbc_indemp_6055000001,sbc_indemp_6056000001,sbc_indemp_6500000001
2010-01-01,160.1,122.4,19.0,141.1,103.4,0.9,7.9,7.0,11.1,8.4,24.6,3.9,18.0,4.3,2.0,2.7,3.4,6.3,3.7,2.6,20.0,10.6,1.7,7.7,22.7
2010-02-01,161.4,122.6,18.9,142.5,103.7,0.9,7.8,6.9,11.1,8.4,24.4,3.9,17.8,4.3,1.9,2.7,3.5,6.3,3.7,2.6,20.2,10.7,1.7,7.8,22.7
2010-03-01,162.3,123.1,18.9,143.4,104.2,0.9,7.8,6.9,11.1,8.4,24.4,3.8,17.8,4.3,1.9,2.8,3.5,6.3,3.7,2.6,20.4,10.7,1.9,7.8,22.9
2010-04-01,163.7,124.4,19.0,144.7,105.4,1.0,7.9,6.9,11.1,8.4,24.5,4.0,17.7,4.4,1.9,2.8,3.4,6.4,3.7,2.7,21.0,11.0,1.8,8.2,22.9
2010-05-01,165.8,125.8,19.2,146.6,106.6,1.0,8.0,7.0,11.2,8.5,24.8,4.0,17.9,4.4,1.9,2.9,3.4,6.4,3.7,2.7,21.3,11.0,1.8,8.5,22.9
2010-06-01,165.5,126.1,19.2,146.3,106.9,1.0,8.0,7.0,11.2,8.5,24.8,4.0,17.9,4.3,2.0,2.9,3.4,6.5,3.7,2.8,21.5,11.0,1.8,8.7,23.0
2010-07-01,162.8,126.2,19.3,143.5,106.9,1.0,8.0,7.0,11.3,8.6,24.8,4.1,17.9,4.3,2.1,2.8,3.5,6.5,3.8,2.7,21.3,11.0,1.7,8.6,23.0
2010-08-01,162.9,126.3,19.5,143.4,106.8,1.0,8.1,7.1,11.4,8.6,24.7,4.1,17.8,4.3,2.0,2.8,3.5,6.5,3.8,2.7,21.4,11.0,1.7,8.7,23.0
2010-09-01,161.3,125.4,19.4,141.9,106.0,1.0,8.0,7.0,11.4,8.6,24.5,4.0,17.8,4.3,2.0,2.7,3.5,6.4,3.7,2.7,21.3,11.0,1.7,8.6,23.0
2010-10-01,164.5,126.2,19.5,145.0,106.7,1.0,8.1,7.1,11.4,8.6,24.6,4.0,17.9,4.3,2.0,2.7,3.5,6.5,3.7,2.8,21.5,11.1,1.7,8.7,23.3
