,sbc_lf,sbc_emp,sbc_unemp,sbc_urate,ven_lf,ven_emp,ven_unemp,ven_urate,slo_lf,slo_emp,slo_unemp,slo_urate,ca_lf,ca_emp,ca_unemp,ca_urate
2000-01-01,5.1,10151.0,189004.0,199155.0,4.8,18486.0,370462.0,388948.0,4.3,5204.0,114847.0,120051.0,5.4,903510.0,15753440.0,16656950.0
2000-02-01,5.0,10101.0,190602.0,200703.0,4.5,17524.0,373356.0,390880.0,4.3,5201.0,115615.0,120816.0,5.4,900935.0,15857868.0,16758803.0
2000-03-01,5.1,10367.0,192320.0,202687.0,4.4,17491.0,377300.0,394791.0,4.5,5414.0,115901.0,121315.0,5.4,911503.0,15894584.0,16806087.0
2000-04-01,4.1,8282.0,196057.0,204339.0,3.9,15327.0,381636.0,396963.0,3.8,4671.0,117476.0,122147.0,4.8,805179.0,15977142.0,16782321.0
2000-05-01,3.8,7858.0,196313.0,204171.0,3.9,15504.0,378239.0,393743.0,3.8,4708.0,118494.0,123202.0,4.8,800370.0,15969433.0,16769803.0
2000-06-01,4.1,8484.0,197554.0,206038.0,4.4,17346.0,375470.0,392816.0,4.3,5287.0,119020.0,124307.0,5.0,847653.0,16043536.0,16891189.0
2000-07-01,4.4,8883.0,195166.0,204049.0,5.3,20786.0,371546.0,392332.0,4.5,5490.0,117869.0,123359.0,5.3,893996.0,16039227.0,16933223.0
2000-08-01,4.3,8676.0,192854.0,201530.0,5.3,20577.0,369567.0,390144.0,4.3,5247.0,116629.0,121876.0,5.0,854563.0,16100302.0,16954865.0
2000-09-01,3.9,7859.0,192462.0,200321.0,4.8,18775.0,370718.0,389493.0,3.8,4651.0,117534.0,122185.0,4.6,780879.0,16107485.0,16888364.0
2000-10-01,3.9,7839.0,194168.0,202007.0,4.3,16872.0,377254.0,394126.0,3.6,4483.0,120075.0,124558.0,4.5,766227.0,16184317.0,16950544.0
2000-11-01,4.5,9155.0,194442.0,203597.0,4.7,18397.0,376467.0,394864.0,3.9,4789.0,118939.0,123728.0,4.7,799794.0,16184324.0,16984118.0
2000-12-01,4.3,8630.0,193444.0,202074.0,4.2,16563.0,380144.0,396707.0,3.5,4251.0,118958.0,123209.0,4.4,750933.0,16286486.0,17037419.0
2001-01-01,5.0,9921.0,190248.0,200169.0,4.8,19243.0,377823.0,397066.0,4.3,5339.0,117610.0,122949.0,5.3,899642.0,16179822.0,17079464.0
2001-02-01,4.7,9509.0,191625.0,201134.0,4.4,17349.0,380873.0,398222.0,4.1,5063.0,119589.0,124652.0,5.1,866086.0,16234695.0,17100781.0
2001-03-01,5.1,10299.0,192123.0,202422.0,4.3,17333.0,382296.0,399629.0,4.3,5325.0,119344.0,124669.0,5.3,907688.0,16255569.0,17163257.0
2001-04-01,4.1,8374.0,196015.0,204389.0,3.9,15695.0,383800.0,399495.0,3.7,4678.0,121082.0,125760.0,4.9,843091.0,16215760.0,17058851.0
2001-05-01,3.4,7042.0,197420.0,204462.0,3.7,14819.0,383749.0,398568.0,3.3,4103.0,121911.0,126014.0,4.6,782863.0,16230877.0,17013740.0
2001-06-01,3.9,8036.0,197531.0,205567.0,4.5,17777.0,379060.0,396837.0,3.9,5036.0,123397.0,128433.0,5.2,895164.0,16208083.0,17103247.0
2001-07-01,4.0,8200.0,195773.0,203973.0,5.1,20350.0,377799.0,398149.0,4.1,5224.0,122235.0,127459.0,5.5,946952.0,16229960.0,17176912.0
2001-08-01,4.3,8573.0,192929.0,201502.0,5.6,22145.0,372990.0,395135.0,4.2,5267.0,120350.0,125617.0,5.7,969392.0,16152246.0,17121638.0
2001-09-01,4.1,8297.0,192460.0,200757.0,5.4,21342.0,375938.0,397280.0,4.0,4992.0,119863.0,124855.0,5.5,934020.0,16198098.0,17132118.0
2001-10-01,4.3,8732.0,194889.0,203621.0,5.2,21098.0,380937.0,402035.0,4.1,5172.0,121954.0,127126.0,5.8,1003763.0,16198966.0,17202729.0
2001-11-01,4.9,10018.0,193701.0,203719.0,5.7,22767.0,379290.0,402057.0,4.2,5420.0,122309.0,127729.0,6.2,1063627.0,16124108.0,17187735.0
2001-12-01,5.1,10292.0,192278.0,202570.0,5.5,22102.0,380912.0,403014.0,4.1,5260.0,122200.0,127460.0,6.1,1056823.0,16143866.0,17200689.0
2002-01-01,5.6,11272.0,189162.0,200434.0,6.0,23951.0,377648.0,401599.0,4.7,5882.0,120573.0,126455.0,7.0,1200966.0,15941676.0,17142642.0
2002-02-01,5.4,10973.0,192248.0,203221.0,5.3,21709.0,384837.0,406546.0,4.4,5639.0,123208.0,128847.0,6.8,1166825.0,16103273.0,17270098.0
2002-03-01,5.6,11502.0,192912.0,204414.0,5.4,22152.0,385194.0,407346.0,4.6,5986.0,123080.0,129066.0,6.9,1193760.0,16068994.0,17262754.0
2002-04-01,4.9,10107.0,196234.0,206341.0,5.1,20900.0,385782.0,406682.0,4.3,5548.0,122972.0,128520.0,6.6,1136828.0,16072940.0,17209768.0
2002-05-01,4.2,8751.0,198837.0,207588.0,4.8,19640.0,385647.0,405287.0,3.9,5097.0,124081.0,129178.0,6.2,1058144.0,16133926.0,17192070.0
2002-06-01,4.8,10035.0,197835.0,207870.0,5.5,22500.0,383649.0,406149.0,4.7,6159.0,125023.0,131182.0,6.7,1159420.0,16104987.0,17264407.0
2002-07-01,4.9,10176.0,197655.0,207831.0,6.0,24237.0,382109.0,406346.0,4.9,6398.0,123106.0,129504.0,6.9,1194605.0,16104603.0,17299208.0
2002-08-01,5.0,10382.0,195516.0,205898.0,6.4,25829.0,376082.0,401911.0,5.0,6322.0,121157.0,127479.0,6.7,1151628.0,16160352.0,17311980.0
